Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Celkon C44 Duos,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,2200,1,Yes
Celkon C366,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C619,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,112,47,15.8,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C51,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C340,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C348+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,,,,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C349+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,111.5,47,14.5,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C779,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C66+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,90,116.9,49,10.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C44+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,2000,1,Yes
Celkon A64,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,125,124,65,10.5,Accelerometer,,TFT,4,320,480,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon A66,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,98,136,67.2,11,"Accelerometer, proximity",,TFT,4.5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon A9 Dual,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,116,120.5,63.9,10.6,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1350,1,Yes
Celkon C4040,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,101,52,12.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1100,1,Yes
Celkon A 107+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,,148,77,9.6,"Accelerometer, proximity",,TFT,5,480,800,android 4,microsdhc,4194304,524288,Li-Ion,2100,1,Yes
Celkon ARR35,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,128,68,10.2,,,TFT,3.5,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon CT 7,Celkon,No cellular connectivity, N/A,,,,No,No,,2014,,192,110,14,"Accelerometer, proximity",,TFT,7,480,800,android 4,microsdhc,8388608,1048576,Li-Ion,3000,1,Yes
Celkon CT-888,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,,,,,Accelerometer,,TFT,7,600,1024,android 4,microsdhc,4194304,524288,Li-Ion,3500,1,Yes
Celkon C820,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,,210,131,10.5,Accelerometer,,TFT,8,800,1280,android 4,microsdhc,4194304,524288,Li-Ion,4000,1,Yes
Celkon C720,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,,194.6,124,12.1,Accelerometer,,TFT,7,458,800,android 4,microsdhc,4194304,524288,Li-Ion,3000,1,Yes
Celkon S1,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,137,144,71,8.9,"Accelerometer, proximity",,IPS,5,1080,1920,android 4,microsdhc,16777216,1048576,Li-Ion,2300,1,Yes
Celkon A40,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,126,126.2,64,10.8,"Accelerometer, proximity",,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Celkon AR50,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,140,144.3,73.4,9.8,"Accelerometer, proximity",60.98,TFT,5,540,960,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon AR40,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,126,126.2,64,10.8,Accelerometer,,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Celkon AR45,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 - SIM 1 & SIM 2,,,,,HSPA,2013,,,,,"Accelerometer, proximity",94.53,TFT,4.5,960,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon A15,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Yes,,2013,,,,,Accelerometer,58.51,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon C7045,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,30.39,TFT,3.5,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon C605,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,17.05,TFT,1.8,128,160,,microsdhc,,,Li-Ion,2200,1,Yes
Celkon C399,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,27.8,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C76,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,24.69,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1400,1,Yes
Celkon C64,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,24.12,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1400,1,Yes
Celkon C63,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,28.68,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1400,1,Yes
Celkon Monalisa 5,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 7.2/5.76 Mbps,2013,120,131.1,66.9,9,"Accelerometer, proximity",,TFT,4.5,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,1800,1,Yes
Celkon A112,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2013,,,,,"Proximity, gyro",90.55,TFT,5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon A63,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Class 12,,2013,,,,,"Proximity, gyro",54.31,TFT,4,480,800,android 4,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Celkon A60,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Class 12,,2013,,,,,Gyro,,TFT,4.5,480,854,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon A20,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2013,,,,,"Proximity, gyro",63.61,TFT,4,480,800,android 4,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Celkon A10,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2013,,,,,Gyro,56.17,TFT,3.5,320,400,android 4,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Celkon C5050 Star,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C7030,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2013,95,112,60,11.8,,,TFT,3.2,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon A105,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Class 12,,2013,,,,,"Accelerometer, proximity",,TFT,5,480,800,android 4,microsdhc,524288,524288,Li-Ion,2100,1,Yes
Celkon C349i,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,14.41,TFT,1.8,128,160,,microsdhc,,,Li-Ion,900,1,Yes
Celkon C297,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C69,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1600,1,Yes
Celkon C67+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C74,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1100,1,Yes
Celkon CT-910+,Celkon,GSM / HSPA,GSM 900 / 1800 ,HSDPA 2100 ,,,,,HSPA,2013,180,193,123,9,"Accelerometer, proximity",,TFT,7,600,1024,android 4,microsdxc,,,Li-Ion,3500,1,Yes
Celkon A118,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,147,73.4,9,"Accelerometer, proximity",,IPS,5,720,1280,android 4,microsdhc,4194304,1048576,Li-Ion,2000,1,Yes
Celkon A107,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,148,77,9.6,"Accelerometer, proximity",,TFT,5,480,800,android 4,microsdhc,524288,524288,Li-Ion,2100,1,Yes
Celkon A9+,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,119.5,63,10.8,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1350,1,Yes
Celkon A119Q Signature HD,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 7.2/5.76 Mbps,2013,177,148,74.5,9.3,"Accelerometer, proximity, compass",,TFT,5,720,1280,android 4,microsdhc,4194304,1048576,Li-Ion,2100,1,Yes
Celkon A119 Signature HD,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 7.2/5.76 Mbps,2013,177,148,74.5,9.3,"Accelerometer, proximity",208.19,TFT,5,720,1280,android 4,microsdhc,4194304,1048576,Li-Ion,2100,1,Yes
Celkon CT-910,Celkon,GSM / HSPA,GSM 900 / 1800 ,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,,TFT,7,480,800,android 4,microsdhc,4194304,524288,Li-Ion,3500,1,Yes
Celkon A87,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,Accelerometer,70.66,TFT,4,480,800,android 2,microsdhc,524288,524288,Li-Ion,1450,1,Yes
Celkon A86,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,"Accelerometer, proximity",,TFT,3.5,320,480,android 2,microsdhc,524288,524288,Li-Ion,1400,1,Yes
Celkon A69,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,Accelerometer,,TFT,4,480,800,android 2,microsdhc,524288,524288,Li-Ion,1500,1,Yes
Celkon A67,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,,TFT,3.2,320,480,android 4,microsdhc,524288,524288,Li-Ion,1350,1,Yes
Celkon A98,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,,TFT,4,480,800,android 4,microsdhc,,,Li-Ion,1800,1,Yes
Celkon A225,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,140.73,TFT,4.7,480,854,android 4,microsdhc,,,Li-Ion,2100,1,Yes
Celkon C7050,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,,45.47,TFT,4,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon C7070,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,,40.59,TFT,3.5,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon C44 Star,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,22.48,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C54,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,35.7,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon GC10,Celkon,GSM / CDMA,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,44.94,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C3333,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2013,,,,,,32.93,TFT,2.6,240,320,,microsdhc,,,Li-Ion,3000,1,No
Celkon C356,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2013,,,,,,18.95,TFT,1.8,176,220,,microsdhc,,,Li-Ion,1100,1,No
Celkon C355,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2013,,,,,,14.78,TFT,1.77,128,160,,microsdhc,,,Li-Ion,1100,1,No
Celkon A75,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,Accelerometer,,TFT,3.5,320,480,android 2,microsdhc,,,Li-Ion,1400,1,Yes
Celkon A59,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,,,,,Accelerometer,,TFT,4,320,480,android 2,microsdhc,,,Li-Ion,1400,1,Yes
Celkon A220,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,124.08,TFT,4.63,480,853,android 4,microsdhc,,,Li-Ion,2000,1,Yes
Celkon A27,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2013,,,,,Accelerometer,135.45,TFT,4.63,480,853,android 4,microsdhc,,,Li-Ion,1800,1,Yes
Celkon A79,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 ,,,,,HSPA,2013,98,115,62,13,Accelerometer,70.89,TFT,3.5,320,420,android 2,microsdhc,,,Li-Ion,1300,1,Yes
Celkon A83,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,103,113.9,63.4,14.4,Accelerometer,56.32,TFT,3.2,320,420,android 2,microsdhc,,,Li-Ion,1450,1,Yes
Celkon A77,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,104,118,61,13.5,Accelerometer,57.68,TFT,3.5,320,420,android 2,microsdhc,,,Li-Ion,1300,1,Yes
Celkon CT 9,Celkon,No cellular connectivity, N/A,,,,No,No,,2012,450,239,146,13,Accelerometer,105.86,TFT,9,480,800,android 4,microsdhc,,,Li-Ion,5000,1,Yes
Celkon A200,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 / 1800,,,,,HSPA,2012,147,130,66.6,10.8,"Accelerometer, proximity",126.92,TFT,4.3,480,800,android 4,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C19,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,85,121.5,52.2,11.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1400,1,Yes
Celkon A900,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2012,185,152.8,81.7,10.2,Accelerometer,126.49,TFT,5,480,800,android 2,microsdhc,,,Li-Ion,2000,1,Yes
Celkon A85,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,125,110,56,8,"Accelerometer, proximity",61.94,TFT,3.5,320,480,android 2,microsdhc,524288,262144,Li-Ion,1200,1,Yes
Celkon A22,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2012,145,131,67,9.9,Accelerometer,134.06,TFT,4.5,540,960,android 4,microsdhc,,,Li-Ion,2000,1,Yes
Celkon CT 2,Celkon,GSM,GSM 900 / 1800 ,,,,No,No,,2012,,194,120,11.6,Accelerometer,102.06,TFT,7,480,800,android 4,microsdhc,,,Li-Ion,3000,1,Yes
Celkon C52,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2012,,118.1,50.5,12.7,,33.05,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C9 Star,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2012,,114.3,48.8,15.6,,24.08,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon A89,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 / 1800,,,,,HSPA,2012,,,,,"Accelerometer, proximity",73.74,TFT,3.5,320,480,android 2,microsdhc,,,Li-Ion,1400,1,Yes
Celkon CT 1,Celkon,No cellular connectivity, N/A,,,,No,No,,2012,,196,114,14,Accelerometer,,TFT,7,480,800,android 4,microsdhc,,,Li-Ion,3000,1,Yes
Celkon C24,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,123,52,14.8,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C3000,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,118.7,52.7,16.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,3000,1,Yes
Celkon A97i,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2012,139,124,64,11,Accelerometer,100.86,TFT,4,480,800,android 4,microsdhc,,,Li-Ion,1500,1,Yes
Celkon A19,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 / 1800,,,,,HSPA,2012,110,124,68,10.8,"Accelerometer, proximity",133.84,TFT,4,480,800,android 2,microsdhc,,,Li-Ion,1400,1,Yes
Celkon C607,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,70,110.1,46,16,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C262,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,90,118,53,13,,,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C360,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,119.5,54,13.9,,,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C359,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,,,,,,TFT,1.8,176,220,,microsdhc,,,Li-Ion,950,1,Yes
Celkon C350,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,106,44,14.5,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon A97,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2012,130,124,64,11,"Accelerometer, proximity, compass",115.99,TFT,4,480,800,android 2,microsdhc,,,Li-Ion,1500,1,Yes
Celkon A95,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2012,104,112,60.5,11.5,"Accelerometer, proximity, compass",73.37,TFT,3.2,320,480,android 2,microsdhc,,,Li-Ion,1400,1,Yes
Celkon A90,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2012,128,128,66,11.5,"Accelerometer, proximity, compass",,TFT,4,480,800,android 2,microsdhc,,,Li-Ion,1420,1,Yes
Celkon A99+,Celkon,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2012,,126.1,65.4,12.3,"Accelerometer, proximity, compass",,TFT,4.3,540,960,android 2,microsdhc,,,Li-Ion,1300,1,Yes
Celkon C770N,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,118,52,12.9,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C705,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,117,51,14.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1800,1,Yes
Celkon C606,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,119,53,15.3,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,2000,1,Yes
Celkon C570,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,116.5,49.5,9.8,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C504,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,117,49,13.9,,,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1400,1,Yes
Celkon C206,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,108,48,16.5,,,TFT,1.8,176,220,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C203,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,107,47,14.6,,,TFT,1.8,128,160,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C17,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,111,49.6,14.5,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C75,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,110,62,13,,,TFT,3.2,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon i4,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,Yes,,2012,,112,61,10,,,TFT,3.5,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon A7,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,,,,,,TFT,3.2,240,400,,microsdhc,,,Li-Ion,1450,1,Yes
Celkon A88,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, Yes,,,Yes,Yes,,2012,,116,60.5,13.2,Accelerometer,,TFT,3.5,320,480,android 2,microsdhc,,,Li-Ion,1450,1,Yes
Celkon C770 Dj,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, Yes,,,Yes,No,,2012,,118,52,12.9,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1350,1,Yes
Celkon C769,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, Yes,,,Yes,No,,2012,,117.5,52,13.2,,,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1450,1,Yes
Celkon C349,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,No,,2012,,,,,,,TFT,1.8,176,220,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C337,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,,,,,,TFT,2,176,220,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C260,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,117.5,52,11.5,,,TFT,2.6,240,320,,microsdhc,,,Li-Ion,1500,1,Yes
Celkon C70,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,,,,,,,TFT,2.2,176,220,,microsdhc,,,Li-Ion,800,1,Yes
Celkon C55,Celkon,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,,2012,126,95,48,15,,,TFT,2.2,176,220,,microsdhc,,,Li-Ion,1000,1,Yes
